Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
27/12/2008,Melbourne,16.8,27.2,0,6.4,9.4,S,39,NNW,S,20,20,58,64,1006.1,1003.3,4,6,22,21.3,No,No
7/1/2009,Melbourne,17.6,20.9,0,8.8,4.4,S,46,SSW,SSE,17,28,89,66,1010,1010.5,8,7,17.8,20.6,No,No
9/1/2009,Melbourne,12.6,21.8,0,5.6,12.6,S,43,SSE,S,19,28,47,41,1021.7,1017.8,6,7,15.5,20.3,No,No
10/1/2009,Melbourne,13.3,23.4,0,7.2,10.2,S,43,WSW,S,7,24,67,60,1013.9,1010.5,7,2,15.8,20.3,No,No
11/1/2009,Melbourne,14.3,23.4,0,6.6,10.2,S,41,SW,SSE,9,17,89,58,1012.1,1010.2,8,2,14.6,20.8,No,No
13/1/2009,Melbourne,13.9,37.8,0,6.8,13.5,N,52,N,NNW,35,22,61,12,1014,1009.8,0,0,20.5,35.8,No,No
14/1/2009,Melbourne,20.4,32.6,0,18.6,12.3,N,57,N,S,35,24,14,64,1008,1009.5,3,4,32.2,22.7,No,No
17/1/2009,Melbourne,14.5,20.1,0,8.8,12.1,S,41,SSE,S,28,26,45,47,1023,1023.1,7,2,16.2,19,No,No
19/1/2009,Melbourne,13.7,35.8,0,7.8,13.4,N,54,N,WNW,28,22,52,20,1014,1009,1,1,20.5,32.9,No,No
21/1/2009,Melbourne,17.2,28.8,0,14.4,10.9,S,37,NE,SSE,9,24,66,50,1010.5,1006.9,5,7,20.3,24.8,No,No
22/1/2009,Melbourne,18.2,35.6,0,8,7.6,W,94,NNW,NW,41,46,57,12,998,993.9,7,7,27.9,35.5,No,No
25/1/2009,Melbourne,13,27.1,0,8,13.3,S,39,NNE,SE,7,24,58,21,1018.5,1016.7,0,0,16.7,26.3,No,No
27/1/2009,Melbourne,16.6,36.4,0,7.6,12.3,N,37,NNE,SSE,7,26,71,47,1017.9,1014.1,1,1,18.9,27.3,No,No
28/1/2009,Melbourne,18.8,43.4,0,12,13.4,N,50,N,NNW,24,15,30,10,1012.2,1008.9,0,1,25.7,42.5,No,No
29/1/2009,Melbourne,25.7,44.3,0,20.4,10.3,N,59,N,N,39,26,17,10,1011.1,1009.2,1,5,35.5,43.4,No,No
30/1/2009,Melbourne,25.7,45.1,0,18.6,12.8,N,50,N,N,15,22,35,9,1011.8,1008.6,1,1,31.3,43.3,No,No
2/2/2009,Melbourne,20.8,28.5,0,6.6,2.7,S,37,WSW,S,7,26,77,63,1012.2,1010.3,7,6,22.2,26.6,No,No
4/2/2009,Melbourne,16.8,30.2,0,7.2,11,S,35,NNE,S,4,17,76,46,1009.5,1006.2,7,0,19.9,29.7,No,No
6/2/2009,Melbourne,17.9,33.1,0,8.8,8.5,S,44,SSE,SSE,11,19,75,50,1010.8,1007.3,8,2,18.9,26.2,No,No
8/2/2009,Melbourne,18.6,22.5,0.8,20.2,2.3,S,44,SW,SSE,20,28,80,61,1012.5,1014.2,7,7,20.3,19.9,No,No
13/2/2009,Melbourne,12.8,28,0,7.8,11.8,S,43,W,SSE,13,11,58,27,1025.8,1023.1,0,0,15.2,26,No,No
15/2/2009,Melbourne,14.8,29.6,0,6.8,11.7,S,54,SW,S,2,28,70,26,1018.9,1016.1,4,5,17.1,28.7,No,No
17/2/2009,Melbourne,15.8,31.7,0,8.2,12,N,37,NNE,S,20,19,55,21,1016.9,1013.5,0,1,19.7,31.3,No,No
20/2/2009,Melbourne,18,24.6,0,8,7.4,S,46,SW,SW,19,28,68,50,1012.9,1013.1,7,4,18.1,22.6,No,No
25/2/2009,Melbourne,14.1,21.6,1.2,7.6,3.4,S,37,SSW,S,17,20,90,60,1020.6,1019.8,8,6,14.7,20.5,Yes,No
27/2/2009,Melbourne,14.3,34,0,7.8,8.7,N,72,N,NNW,48,31,42,24,1014,1010.7,7,4,22.3,32.5,No,No
28/2/2009,Melbourne,16.1,23.2,0,12.4,6.3,S,48,SW,SSE,17,31,66,43,1013.2,1012.2,7,2,17.6,22.1,No,Yes
3/3/2009,Melbourne,16.8,32.5,0.8,7.6,1,N,93,N,N,35,61,71,36,1009.4,1000.8,7,7,19.2,29.1,No,Yes
4/3/2009,Melbourne,14,19,2.4,10,4.4,W,63,NW,W,15,44,43,44,1012.6,1012.1,3,7,15.3,18.5,Yes,Yes
9/3/2009,Melbourne,9.7,25.2,0,4.2,10.1,S,31,WSW,SW,13,9,73,45,1021.5,1018.7,1,0,13.7,23.9,No,No
12/3/2009,Melbourne,18.2,25.2,5.4,4.8,2.4,N,59,NNW,N,13,44,78,60,1019.2,1017.2,8,7,20.3,23.6,Yes,Yes
13/3/2009,Melbourne,17.7,29,3,3.8,9.8,N,37,NNW,ENE,15,9,75,51,1016.8,1013.9,2,3,20.5,27.5,Yes,No
15/3/2009,Melbourne,12,18.9,20.4,3.6,2.9,W,50,NNW,NW,20,28,75,42,1011.6,1010.9,7,6,12.9,17.6,Yes,No
18/3/2009,Melbourne,14.3,28.5,0,4,8.8,N,41,NNE,N,13,26,63,20,1017.8,1012.8,5,1,15.2,27.1,No,No
20/3/2009,Melbourne,16.8,23.8,0,8.8,10.5,S,31,NNE,S,9,20,75,57,1015.9,1013.6,5,1,18.2,22.4,No,No
21/3/2009,Melbourne,15.4,34.6,0,6.2,10.6,N,59,N,N,37,37,52,13,1013.5,1010.4,1,1,20.5,33.7,No,No
22/3/2009,Melbourne,20.4,25.6,0,14.8,6.1,N,48,NW,S,11,28,25,69,1010.3,1012.8,5,4,25.5,20.7,No,Yes
26/3/2009,Melbourne,15.4,24,0,2.6,8.4,S,52,WNW,SW,11,28,83,47,1019.4,1020.6,3,5,17.1,23.3,No,No
28/3/2009,Melbourne,9.7,26.7,0,4,9.6,N,26,N,SSW,15,11,77,38,1024.4,1021.1,3,1,11.6,24.6,No,No
29/3/2009,Melbourne,11.3,24.7,0,6.2,11.1,S,37,N,S,19,24,51,50,1022.5,1022,0,1,14.1,22.7,No,No
30/3/2009,Melbourne,14,22.5,0,4.8,9.3,S,31,SSW,SSE,11,15,80,57,1026.3,1023.7,5,4,16.1,20.7,No,No
31/3/2009,Melbourne,14.5,30.1,0,4.2,10.5,N,39,NE,SE,17,7,85,29,1023.7,1020.7,0,0,15.7,29.5,No,No
2/4/2009,Melbourne,16.9,32.8,0,6.2,10.4,N,50,N,NNE,33,30,53,26,1021.4,1017.8,3,5,21.9,32.3,No,No
7/4/2009,Melbourne,11.4,18.4,2.2,2.6,2.8,S,35,SW,S,19,28,94,62,1030,1028.1,8,7,12.3,18.3,Yes,Yes
8/4/2009,Melbourne,12.3,19.9,1.6,1.8,6.1,S,31,SW,SSE,7,13,62,56,1028.4,1026,7,3,15.9,19.1,Yes,No
11/4/2009,Melbourne,14.4,22.5,0,3.2,4.8,S,28,S,SSW,7,11,80,55,1024,1020.7,7,2,16,21.8,No,No
19/4/2009,Melbourne,14,19.1,0,3,4.8,S,35,SSE,S,17,19,65,59,1026,1023.2,7,3,15.4,18.1,No,No
20/4/2009,Melbourne,8.7,22,0,2.8,9.5,S,19,WNW,SSE,2,11,95,43,1024.2,1020.6,8,0,11.5,21.5,No,No
21/4/2009,Melbourne,9.4,24.6,0,2.4,10.2,N,31,N,NE,24,11,68,34,1024.4,1021.1,0,1,12.9,23.7,No,No
23/4/2009,Melbourne,11.3,22.8,0,5.6,7.6,N,72,N,N,31,35,57,37,1019.5,1013.6,2,7,15.1,22.3,No,No
24/4/2009,Melbourne,15.1,18.2,0,7.4,0,N,76,N,N,35,31,68,81,1002.8,998.5,8,7,17.5,16.5,No,Yes
25/4/2009,Melbourne,12.3,19,3.4,1.8,3.9,N,70,N,N,24,41,70,55,1000.9,994.2,7,7,14.4,18.4,Yes,Yes
26/4/2009,Melbourne,9.1,13.6,2.6,5.2,4.2,W,81,NNW,WNW,28,50,55,63,997.2,999,6,7,10.5,11.9,Yes,Yes
29/4/2009,Melbourne,6,13.8,1.6,0.4,2.6,S,24,N,S,11,15,81,52,1024.2,1022.5,7,7,7.5,12.9,Yes,No
30/4/2009,Melbourne,2.9,18,0,1.2,10.1,N,46,N,NNE,11,24,75,29,1023.8,1020.2,1,3,5.9,17.2,No,No
1/5/2009,Melbourne,5.8,14.9,0,3.8,0.3,N,50,N,SSE,31,4,45,72,1023,1022.3,7,7,12.2,13.9,No,No
11/5/2009,Melbourne,8.2,17.8,0.2,1,5.9,S,26,N,S,7,17,85,60,1025.4,1022.7,8,1,10.9,17.1,No,No
13/5/2009,Melbourne,9.8,17,0.2,1.4,1.6,W,41,NW,W,13,20,63,47,1016.7,1013.7,7,7,13.7,16.4,No,No
16/5/2009,Melbourne,11.5,16.4,0.4,4,2.2,W,54,WSW,WSW,35,33,69,42,1011.9,1014,7,6,13,16.1,No,No
21/5/2009,Melbourne,9.2,15.7,0,1.6,5.6,S,22,WSW,SSE,7,13,95,75,1025.6,1023.8,8,7,11.3,14.2,No,No
22/5/2009,Melbourne,5.9,20.3,0,1.6,9.3,N,26,NA,SE,0,15,97,53,1025.2,1021.1,8,0,7.4,20.3,No,No
23/5/2009,Melbourne,7.3,22.8,0,2,5,N,54,NA,NNE,NA,24,68,32,1021.1,1018,7,7,11.5,22.5,No,No
24/5/2009,Melbourne,11.5,20.8,0,5.8,0,N,52,N,N,31,30,43,43,1022,1020.1,8,7,18.9,20.7,No,No
28/5/2009,Melbourne,9.5,16.4,0.6,0.8,1.9,S,41,WSW,S,6,26,82,80,1025.1,1024.4,7,7,11.6,13,No,Yes
1/6/2009,Melbourne,6.8,14.8,0,2.2,0,N,30,NNW,NE,2,11,76,67,1031.1,1029.2,7,8,10.6,14.4,No,No
3/6/2009,Melbourne,11.7,18.2,1.8,0.6,0,N,31,NA,NNE,0,15,87,66,1022.8,1018.8,7,7,13,17.4,Yes,Yes
4/6/2009,Melbourne,12.3,17.5,1.8,0.4,0.7,N,41,N,NNW,28,15,73,59,1018.8,1016.3,7,7,14.1,16.5,Yes,No
5/6/2009,Melbourne,6.9,17.8,0,1.6,7.5,N,26,N,ESE,17,6,85,57,1017.9,1015.1,7,4,8.1,15.9,No,No
6/6/2009,Melbourne,5.5,14.3,0,1,1.6,N,39,N,N,28,17,84,68,1013.4,1009.1,5,7,7.1,13.2,No,No
7/6/2009,Melbourne,6.9,14.6,0.6,0.4,1.1,W,41,N,SW,15,2,90,80,1005.5,1003.8,7,7,10.1,12,No,Yes
8/6/2009,Melbourne,10.1,14.3,1.6,2,2.7,W,57,NNW,NW,26,22,73,61,1006.5,1004.8,7,7,11.2,13.3,Yes,Yes
9/6/2009,Melbourne,7.1,12.6,3.2,2.4,2.7,W,70,N,WSW,22,37,87,57,1006.9,1006,7,7,7.9,11.9,Yes,Yes
11/6/2009,Melbourne,6,12.4,6.6,2,0.1,W,31,W,WSW,20,13,74,55,1025.6,1023,7,7,8.4,12.2,Yes,No
12/6/2009,Melbourne,5.3,10.8,0,0.4,4.7,N,61,N,NNE,31,30,71,57,1022.6,1019.2,4,7,6.9,10.1,No,No
13/6/2009,Melbourne,6.9,13,0,2.8,1.8,N,80,N,N,30,43,64,51,1013.6,1008.9,7,7,9.4,12.3,No,No
14/6/2009,Melbourne,8.3,16.2,0.2,2,1.4,N,52,N,NNE,28,13,68,52,1009.9,1008.2,5,7,10,15.3,No,No
15/6/2009,Melbourne,5.6,15.7,0,1.8,8.5,S,26,ESE,S,6,17,82,63,1014.3,1014.4,2,2,7.2,15.2,No,No
16/6/2009,Melbourne,7.2,14.5,0,0.8,4.7,S,19,SW,SSW,7,7,88,66,1023.8,1023.5,7,5,9.4,13.4,No,No
18/6/2009,Melbourne,4.6,17.6,0,0.8,8.6,N,31,WNW,N,2,20,92,46,1030.7,1028.1,7,2,5.4,16.4,No,No
21/6/2009,Melbourne,10.8,16.1,0,1.2,0,N,41,N,NNE,19,15,99,75,1019.3,1018,7,7,11,15.5,No,Yes
22/6/2009,Melbourne,9.9,17.6,1.2,1.4,8.9,N,48,N,NNE,28,26,82,51,1019,1017,2,1,10.4,17.4,Yes,No
23/6/2009,Melbourne,8.6,16.6,0,1.8,1.5,N,56,NE,NNE,26,22,77,61,1017.5,1013.4,7,7,11.1,16.1,No,Yes
24/6/2009,Melbourne,11,17.6,1.6,0.6,7.8,N,37,N,N,20,11,75,49,1014,1012.1,6,4,11.3,16.9,Yes,No
25/6/2009,Melbourne,5.5,15,0,2.6,3.8,W,39,N,NNW,15,6,84,67,1013.7,1010,6,6,7.2,13.6,No,No
26/6/2009,Melbourne,7.1,16.4,0,1.4,7.8,N,48,N,N,31,26,81,57,1009.3,1006.8,3,6,10.6,15.5,No,No
27/6/2009,Melbourne,7.9,14.9,0,1.6,1.1,N,20,NA,WSW,0,2,82,70,1008.3,1006.1,5,6,8.4,13.1,No,No
28/6/2009,Melbourne,5,16.1,0,1.8,6.5,N,61,N,N,15,22,89,59,1006.6,1004,6,7,5.7,14,No,No
29/6/2009,Melbourne,5.6,17.8,0,1.6,7,N,59,N,N,31,33,76,60,1006.4,1005.2,6,3,13,16.7,No,No
30/6/2009,Melbourne,13,19.4,0,4,4.8,N,91,NNE,N,50,52,61,50,999,989.9,7,7,15.9,18.1,No,Yes
2/7/2009,Melbourne,9.5,13.5,0.2,2.6,0.2,W,52,NNW,NW,20,19,68,65,1005.2,1002.4,7,8,10.6,12.6,No,Yes
7/7/2009,Melbourne,7.6,14.2,0.4,0.4,9.1,N,33,NNW,WSW,6,9,75,47,1026.5,1024.3,0,0,7.9,13.4,No,No
9/7/2009,Melbourne,4.2,16.9,0,2.2,8.3,N,50,NNE,N,13,19,74,45,1030.3,1027.1,6,3,6.3,15.6,No,No
13/7/2009,Melbourne,9,15.6,0,3.6,3.8,W,50,N,NNW,22,24,76,60,1003.8,1001.7,7,7,10.2,14.7,No,No
14/7/2009,Melbourne,8.1,13.9,1,1.2,2,N,37,N,N,24,15,76,57,1004.3,1003.5,7,7,9,12.7,No,No
15/7/2009,Melbourne,9,13.6,0,2.4,2.6,N,30,N,S,15,7,78,49,1010.3,1010.4,7,5,9.9,13.3,No,No
16/7/2009,Melbourne,6.5,14.7,0,0.6,6.6,S,28,WSW,S,9,19,72,63,1017.2,1017.1,7,2,9.3,12.6,No,No
17/7/2009,Melbourne,5,15,0,1,7.2,N,30,N,NE,9,2,85,55,1022.7,1020.4,3,7,6.6,13.7,No,No
18/7/2009,Melbourne,6.6,13.6,0,1.4,5.4,N,63,N,N,28,41,72,58,1019.2,1014.9,4,7,8.3,11.8,No,No
19/7/2009,Melbourne,8.2,15.5,0,3,9.1,N,63,N,N,31,39,68,57,1016.6,1014.9,3,7,10.8,14.4,No,No
20/7/2009,Melbourne,10.8,19,0,5.8,8.6,N,74,N,N,48,46,48,31,1015.8,1011.4,6,6,12.8,19,No,No
21/7/2009,Melbourne,12.8,19.6,0,8,6.1,N,78,N,N,50,54,36,28,1012.9,1007,5,5,13.7,18.4,No,No
